,Source (B)
1,"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
"
6,"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
"
9,"https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
"
13,"https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen
"
15,"https://www.ted.com/talks/sirena_huang_dazzles_on_violin
"
18,"https://www.ted.com/talks/ross_lovegrove_shares_organic_designs
"
23,"https://www.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat
"
37,"https://www.ted.com/talks/burt_rutan_sees_the_future_of_space
"
55,"https://www.ted.com/talks/robert_wright_on_optimism
"
61,"https://www.ted.com/talks/carl_honore_praises_slowness
"
71,"https://www.ted.com/talks/stefan_sagmeister_shares_happy_design
"
77,"https://www.ted.com/talks/vik_muniz_makes_art_with_wire_sugar
"
81,"https://www.ted.com/talks/golan_levin_on_software_as_art
"
85,"https://www.ted.com/talks/jill_sobule_sings_to_al_gore
"
86,"https://www.ted.com/talks/caroline_lavelle_casts_a_spell_on_cello
"
88,"https://www.ted.com/talks/evelyn_glennie_shows_how_to_listen
"
91,"https://www.ted.com/talks/rives_remixes_ted2006
"
92,"https://www.ted.com/talks/eddi_reader_sings_kiteflyer_s_hill
"
121,"https://www.ted.com/talks/will_wright_makes_toys_that_make_worlds
"
122,"https://www.ted.com/talks/rives_on_4_a_m
"
132,"https://www.ted.com/talks/vusi_mahlasela_sings_thula_mama
"
133,"https://www.ted.com/talks/jeff_skoll_makes_movies_that_make_change
"
142,"https://www.ted.com/talks/john_maeda_on_the_simple_life
"
144,"https://www.ted.com/talks/paul_maccready_flies_on_solar_wings
"
147,"https://www.ted.com/talks/richard_branson_s_life_at_30_000_feet
"
175,"https://www.ted.com/talks/frank_gehry_asks_then_what
"
181,"https://www.ted.com/talks/chris_anderson_shares_his_vision_for_ted
"
187,"https://www.ted.com/talks/pamelia_kurstin_plays_the_theremin
"
194,"https://www.ted.com/talks/roy_gould_and_curtis_wong_preview_the_worldwide_telescope
"
202,"https://www.ted.com/talks/neil_turok_makes_his_ted_prize_wish
"
205,"https://www.ted.com/talks/clifford_stoll_on_everything
"
217,"https://www.ted.com/talks/brian_cox_on_cern_s_supercollider
"
219,"https://www.ted.com/talks/hector_ruiz_on_connecting_the_world
"
222,"https://www.ted.com/talks/michael_moschen_juggles_rhythm_and_motion
"
228,"https://www.ted.com/talks/arthur_ganson_makes_moving_sculpture
"
234,"https://www.ted.com/talks/murray_gell_mann_on_the_ancestor_of_language
"
249,"https://www.ted.com/talks/david_hoffman_on_losing_everything
"
252,"https://www.ted.com/talks/freeman_dyson_says_let_s_look_for_life_in_the_outer_solar_system
"
253,"https://www.ted.com/talks/helen_fisher_studies_the_brain_in_love
"
256,"https://www.ted.com/talks/keith_barry_does_brain_magic
"
258,"https://www.ted.com/talks/marisa_fick_jordan_shares_the_wonder_of_zulu_wire_art
"
260,"https://www.ted.com/talks/louise_leakey_digs_for_humanity_s_origins
"
267,"https://www.ted.com/talks/patricia_burchat_leads_a_search_for_dark_energy
"
270,"https://www.ted.com/talks/lennart_green_does_close_up_card_magic
"
296,"https://www.ted.com/talks/rodney_brooks_on_robots
"
303,"https://www.ted.com/talks/steven_johnson_on_the_web_as_a_city
"
310,"https://www.ted.com/talks/paul_maccready_on_nature_vs_humans
"
314,"https://www.ted.com/talks/rives_tells_a_story_of_mixed_emoticons
"
325,"https://www.ted.com/talks/john_francis_walks_the_earth
"
331,"https://www.ted.com/talks/ursus_wehrli_tidies_up_art
"
333,"https://www.ted.com/talks/isaac_mizrahi_on_fashion_and_creativity
"
341,"https://www.ted.com/talks/the_inspiration_of_second_life
"
344,"https://www.ted.com/talks/david_holt_plays_mountain_music
"
345,"https://www.ted.com/talks/eva_zeisel_on_the_playful_search_for_beauty
"
359,"https://www.ted.com/talks/rob_forbes_on_ways_of_seeing
"
364,"https://www.ted.com/talks/david_carson_on_design
"
368,"https://www.ted.com/talks/woody_norris_invents_amazing_things
"
372,"https://www.ted.com/talks/natalie_macmaster_and_donnell_leahy_play_the_cape_breton_fiddle
"
388,"https://www.ted.com/talks/evan_williams_on_listening_to_twitter_users
"
395,"https://www.ted.com/talks/aimee_mullins_prosthetic_aesthetics
"
406,"https://www.ted.com/talks/john_wooden_on_the_difference_between_winning_and_success
"
424,"https://www.ted.com/talks/niels_diffrient_rethinks_the_way_we_sit_at_work
"
428,"https://www.ted.com/talks/alex_tabarrok_foresees_economic_growth
"
430,"https://www.ted.com/talks/sarah_jones_as_a_one_woman_global_village
"
445,"https://www.ted.com/talks/carolyn_porco_could_a_saturn_moon_harbor_life
"
451,"https://www.ted.com/talks/kaki_king_rocks_out_to_pink_noise
"
461,"https://www.ted.com/talks/richard_st_john_success_is_a_continuous_journey
"
466,"https://www.ted.com/talks/philip_zimbardo_prescribes_a_healthy_take_on_time
"
468,"https://www.ted.com/talks/katherine_fulton_you_are_the_future_of_philanthropy
"
517,"https://www.ted.com/talks/stefan_sagmeister_the_power_of_time_off
"
542,"https://www.ted.com/talks/pranav_mistry_the_thrilling_potential_of_sixthsense_technology
"
548,"https://www.ted.com/talks/rob_hopkins_transition_to_a_world_without_oil
"
552,"https://www.ted.com/talks/gordon_brown_on_global_ethic_vs_national_interest
"
555,"https://www.ted.com/talks/scott_kim_takes_apart_the_art_of_puzzles
"
569,"https://www.ted.com/talks/bertrand_piccard_s_solar_powered_adventure
"
582,"https://www.ted.com/talks/bill_davenhall_your_health_depends_on_where_you_live
"
594,"https://www.ted.com/talks/blaise_aguera
"
595,"https://www.ted.com/talks/david_cameron
"
607,"https://www.ted.com/talks/james_cameron_before_avatar_a_curious_boy
"
608,"https://www.ted.com/talks/the_lxd_in_the_internet_age_dance_evolves
"
611,"https://www.ted.com/talks/gary_lauder_s_new_traffic_sign_take_turns
"
613,"https://www.ted.com/talks/eric_mead_the_magic_of_the_placebo
"
636,"https://www.ted.com/talks/catherine_mohr_builds_green
"
637,"https://www.ted.com/talks/thelma_golden_how_art_gives_shape_to_cultural_change
"
644,"https://www.ted.com/talks/stephen_wolfram_computing_a_theory_of_everything
"
652,"https://www.ted.com/talks/pistol
"
659,"https://www.ted.com/talks/graham_hill_weekday_vegetarian
"
661,"https://www.ted.com/talks/richard_sears_planning_for_the_end_of_oil
"
684,"https://www.ted.com/talks/marian_bantjes_intricate_beauty_by_design
"
714,"https://www.ted.com/talks/jamil_abu_wardeh_bringing_comedy_to_the_axis_of_evil
"
715,"https://www.ted.com/talks/maz_jobrani_make_jokes_not_bombs
"
724,"https://www.ted.com/talks/his_holiness_the_karmapa_the_technology_of_the_heart
"
727,"https://www.ted.com/talks/sugata_mitra_the_child_driven_education
"
733,"https://www.ted.com/talks/jessa_gamble_how_to_sleep
"
755,"https://www.ted.com/talks/ze_frank_s_web_playroom
"
756,"https://www.ted.com/talks/jessica_jackley_poverty_money_and_love
"
795,"https://www.ted.com/talks/rufus_griscom_alisa_volkman_let_s_talk_parenting_taboos
"
796,"https://www.ted.com/talks/rachel_botsman_the_case_for_collaborative_consumption
"
802,"https://www.ted.com/talks/arianna_huffington_how_to_succeed_get_more_sleep
"
803,"https://www.ted.com/talks/lesley_hazelton_on_reading_the_koran
"
804,"https://www.ted.com/talks/charles_limb_your_brain_on_improv
"
806,"https://www.ted.com/talks/neil_pasricha_the_3_a_s_of_awesome
"
819,"https://www.ted.com/talks/liza_donnelly_drawing_upon_humor_for_change
"
820,"https://www.ted.com/talks/ariel_garten_know_thyself_with_a_brain_scanner
"
824,"https://www.ted.com/talks/johanna_blakley_social_media_and_the_end_of_gender
"
831,"https://www.ted.com/talks/a_whistleblower_you_haven_t_heard
"
853,"https://www.ted.com/talks/mark_bezos_a_life_lesson_from_a_volunteer_firefighter
"
855,"https://www.ted.com/talks/sarah_kay_if_i_should_have_a_daughter
"
864,"https://www.ted.com/talks/sebastian_thrun_google_s_driverless_car
"
865,"https://www.ted.com/talks/eric_whitacre_a_virtual_choir_2_000_voices_strong
"
873,"https://www.ted.com/talks/david_christian_big_history
"
875,"https://www.ted.com/talks/roger_ebert_remaking_my_voice
"
882,"https://www.ted.com/talks/ric_elias
"
890,"https://www.ted.com/talks/carlo_ratti_architecture_that_senses_and_responds
"
897,"https://www.ted.com/talks/amit_sood_building_a_museum_of_museums_on_the_web
"
903,"https://www.ted.com/talks/terry_moore_how_to_tie_your_shoes
"
910,"https://www.ted.com/talks/stefan_sagmeister_7_rules_for_making_more_happiness
"
912,"https://www.ted.com/talks/jessi_arrington_wearing_nothing_new
"
915,"https://www.ted.com/talks/janet_echelman
"
925,"https://www.ted.com/talks/bill_ford_a_future_beyond_traffic_gridlock
"
933,"https://www.ted.com/talks/robert_hammond_building_a_park_in_the_sky
"
934,"https://www.ted.com/talks/matt_cutts_try_something_new_for_30_days
"
952,"https://www.ted.com/talks/adam_ostrow_after_your_final_status_update
"
971,"https://www.ted.com/talks/raghava_kk_shake_up_your_story
"
974,"https://www.ted.com/talks/kate_hartman_the_art_of_wearable_communication
"
986,"https://www.ted.com/talks/danielle_de_niese_a_flirtatious_aria
"
991,"https://www.ted.com/talks/charles_hazlewood
"
993,"https://www.ted.com/talks/richard_seymour_how_beauty_feels
"
1016,"https://www.ted.com/talks/charlie_todd_the_shared_experience_of_absurdity
"
1018,"https://www.ted.com/talks/yves_rossy_fly_with_the_jetman
"
1021,"https://www.ted.com/talks/robin_ince_science_versus_wonder
"
1043,"https://www.ted.com/talks/roger_doiron_my_subversive_garden_plot
"
1049,"https://www.ted.com/talks/aj_jacobs_how_healthy_living_nearly_killed_me
"
1072,"https://www.ted.com/talks/shawn_achor_the_happy_secret_to_better_work
"
1075,"https://www.ted.com/talks/mike_degruy_hooked_by_octopus
"
1079,"https://www.ted.com/talks/jack_horner_shape_shifting_dinosaurs
"
1081,"https://www.ted.com/talks/drew_dudley_everyday_leadership
"
1089,"https://www.ted.com/talks/chris_bliss_comedy_is_translation
"
1103,"https://www.ted.com/talks/james_hansen_why_i_must_speak_out_about_climate_change
"
1105,"https://www.ted.com/talks/a_ted_speaker_s_worst_nightmare
"
1112,"https://www.ted.com/talks/taylor_wilson_yup_i_built_a_nuclear_fusion_reactor
"
1113,"https://www.ted.com/talks/billy_collins_everyday_moments_caught_in_time
"
1129,"https://www.ted.com/talks/frank_warren_half_a_million_secrets
"
1133,"https://www.ted.com/talks/abigail_washburn_building_us_china_relations_by_banjo
"
1137,"https://www.ted.com/talks/laura_carstensen_older_people_are_happier
"
1139,"https://www.ted.com/talks/brian_greene_why_is_our_universe_fine_tuned_for_life
"
1147,"https://www.ted.com/talks/reuben_margolin_sculpting_waves_in_wood_and_time
"
1152,"https://www.ted.com/talks/jp_rangaswami_information_is_food
"
1153,"https://www.ted.com/talks/karen_bass_unseen_footage_untamed_nature
"
