WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,duration,views
3346,40.81,73.99,45.7,76.57,14.48,16.29,85.56,54.51,17.27,10.01,3.89,0.63,4.03,0.42,1.05,7.17,7.71,10.49,10.4,6.37,6.4,1.97,19.78,3.38,2.15,2.09,1.94,2.6,5.32,4.03,1.29,0.12,0.33,0.42,10.64,0,0.27,0.18,0.54,11.06,2.3,1.97,1.14,1.85,1.85,2.93,4.15,0.84,2.78,0.54,0.66,0.3,0.21,0,0.12,5.77,1.23,0.99,1.73,1.64,0.48,3.89,13.63,1.34,12.79,2.21,6.46,4.36,1.91,0.66,0.45,0.99,0.09,0.06,1.05,0.09,0.12,0.54,0.3,0.03,28.24,7.62,7.38,0.57,0.33,1.05,0.24,0.39,2.3,4.81,3.23,0.33,1286,1636292
1507,29.39,48.14,65.7,78.14,18.84,16.52,88.65,60.58,19.04,8.43,4.51,1.26,2.46,0.07,0.2,10.62,5.51,13.6,12.01,9.89,5.71,1,15.66,4.11,2.52,1.33,1,2.72,3.52,3.19,0.33,0.07,0,0.07,5.31,0,0.13,0,0.13,12.28,1.86,2.59,1,2.65,1.26,3.98,4.45,1.66,0.33,2.39,1.59,1.26,0.2,0,0.07,6.37,2.06,1,2.32,1.06,0.13,1,15.73,1.19,14.13,2.65,7.83,4.11,1.92,0.46,0.07,0.13,0,0,0.66,0,0.4,0.13,0.13,0,19.64,6.37,5.97,0.27,0.27,0.2,0,1.39,0,4.18,0.93,0.07,527,4531020
2609,44.52,79.61,21.24,55.39,19.62,15.37,87.39,59.1,18.24,8.47,1.46,2.87,2.22,0.34,1.57,9.77,7.28,13.53,9.97,6.82,7.36,1.3,17.71,3.79,2.3,2.11,2.03,1.53,3.49,2.53,0.96,0.04,0,0.31,9.12,0.11,0.11,0.15,0.38,11.81,2.18,2.91,1.99,1.84,0.92,3.18,1.99,0.88,0.42,0.57,2.15,0.08,0.65,0.08,1.42,8.7,3.26,1.88,2.22,1.46,0.42,3.87,13.19,0.65,11.73,1.92,7.24,3.14,3.22,0.8,0.23,1.26,0,0.15,0.31,0,0,0.11,0.15,0.04,15.68,5.79,4.6,0.19,0.08,0.46,0,0.77,0.31,2.76,0.69,0.04,906,1415724
3334,45.27,50.12,61.39,65.55,11.54,16.71,85.06,55.7,20.94,9.39,5.67,1.08,1.95,0.12,0.57,11.55,6.87,13.17,10.65,4.32,5.1,1.65,18.33,3.57,1.86,2.22,1.74,2.07,3.75,2.91,0.81,0.03,0.27,0.12,6.48,0.06,0.09,0.06,0.24,10.77,2.22,2.43,1.38,2.16,1.59,1.89,3.48,2.07,0.87,0.33,1.62,0.63,0.27,0.18,0.54,4.89,1.41,1.35,1.23,0.9,0.21,2.46,14.31,0.99,14.46,2.7,7.41,4.5,1.98,1.08,0.54,0.69,0.18,0.03,0.66,0.27,0.03,0.12,0.15,0.06,23.52,9.87,5.13,0.12,0.09,0.39,0,0.78,0.6,5.7,0.84,0,1170,1074081
3036,46.24,71.34,72.78,62.01,17.75,15.55,89.53,57.21,16.24,7.48,2.24,2.73,1.61,0,0.89,8.73,7.21,12.78,10.47,6.88,6.88,1.78,18.81,4.31,2.14,1.88,3.62,2.21,4.28,3.1,1.19,0.1,0.46,0.4,8.56,0.1,0.16,0.03,0.23,10.31,2.11,1.48,1.05,2.24,1.25,3.16,1.55,0.96,0.43,0.16,0.33,0.03,0.2,0.07,0.03,9.06,3.06,2.57,2.44,1.28,0.53,5.3,11.92,1.81,18.18,4.28,7.48,7.41,2.67,0.66,0.2,0.99,0.03,0.2,1.05,0.1,0,0.4,0.36,0.07,18.48,6.09,5.96,0.16,0.3,0.4,0,0.86,0.26,3.99,0.46,0,1177,2028451
3063,64.19,80.82,27.62,62.9,22.36,20.96,87.89,54.03,14.72,7.25,1.11,0.88,1.96,0.56,2.74,7.48,7.25,14.07,10.45,5.58,5.29,1.14,18.09,4.41,1.63,2.29,2.48,2.15,4.24,3.1,1.14,0.29,0.33,0.07,10.48,0.1,0.03,0.03,0.69,11.72,2.64,2.64,1.63,2.81,0.82,2.35,2.02,0.69,1.08,0.23,0.69,0.13,0.2,0.07,0.23,8.85,2.06,2.38,3.3,1.5,0.46,4.15,12.41,1.18,13.52,1.89,8.03,3.72,5.19,1.6,0.07,1.5,0.07,0.03,0.56,0,0.2,0.1,0.26,0,19.33,4.67,8.42,0.46,0.88,0.56,0.07,0.46,0.72,2.87,0.13,0.1,1141,1409327
2682,42.18,78.87,37.74,50.85,19.29,18.12,85.91,58.39,17.79,8.31,2.5,1.27,3.73,0.45,0.37,9.47,8.17,12.83,9.84,7.9,8.72,0.45,15.92,3.65,1.75,1.64,1.34,2.01,2.61,1.94,0.6,0.19,0.04,0.07,8.87,0.07,0.26,0.07,0.67,12.04,3.06,2.13,1.23,3.32,0.78,2.91,3.06,1.9,0.82,0.11,0.78,0.22,0.19,0,0.15,4.77,1.79,0.78,1.3,0.89,0.3,2.16,13.57,1.75,12.34,1.53,7.31,3.62,2.68,0.52,0.11,0.19,0.04,0,0.22,0,0.04,0,0.15,0.04,18.87,5.22,7.31,0.04,0.07,0.67,0,0.78,1.04,3.28,0.37,0.07,869,442553
3276,55.48,70.35,60.26,50.25,21.7,14.62,85.44,55.1,16.45,8.58,2.38,2.35,1.86,0.79,1.19,7.84,7.48,13.49,8.64,4.82,8.24,1.83,17.34,4,1.92,1.56,3.54,2.78,3.3,2.23,0.92,0.21,0.15,0.12,9.55,0,0.24,0.85,0.18,13.34,2.41,2.14,2.44,3.42,1.56,4.15,1.95,0.82,0.76,0.27,1.1,0.21,0.24,0,0.43,7.6,2.84,1.16,1.83,1.56,0.49,3.94,11.87,1.22,16.85,2.93,9.13,5.07,1.22,0.76,0.15,0.46,0,0.09,0.34,0.06,0,0.21,0.09,0,20.05,4.3,9.07,0.09,0.43,0.34,0,0.92,0.73,3.66,0.49,0.03,1207,680134
1916,49.76,52.09,66.4,87.5,17.74,16.44,88,59.55,17.64,9.19,4.59,0.42,2.19,0.68,1.3,8.4,7.72,13.99,8.98,7.78,7.36,0.99,17.01,4.85,2.51,1.2,1.72,2.09,5.79,4.65,1.04,0.21,0.26,0.21,7.15,0.05,0.16,0,0.68,10.65,2.35,1.1,1.04,2.19,1.62,3.65,4.02,1.88,1.88,0.16,0.68,0.42,0.16,0,0.1,4.96,0.73,1.3,1.3,1.67,0.26,4.8,10.28,1.04,14.67,1.72,8.14,5.17,2.3,0.89,0.31,0.26,0,0.05,0.42,0,0,0.05,0.37,0,23.38,6.32,8.04,0.52,0.21,0.21,0,0.1,2.51,2.77,2.71,0,930,1762302
3725,38.7,81.36,46.91,67.38,19.4,13.93,90.87,60.64,20.46,10.42,3.36,2.63,2.42,0.32,1.69,10.04,6.39,14.39,10.79,6.15,6.85,1.5,20,4.05,2.36,1.99,1.61,2.55,5.18,3.68,1.48,0.24,0.43,0.08,12.08,0.19,0.24,0.46,0.54,13.42,3.36,1.99,1.83,2.71,1.45,3.14,2.36,1.1,0.83,0.3,1.66,0.38,0.48,0.16,0.13,8.97,4.43,2.15,1.26,1.37,0.46,5.02,13.15,0.99,12.83,2.58,7.38,3.03,2.26,1.45,0.43,0.43,0.19,0.13,0.81,0.21,0,0.32,0.21,0.03,20.97,5.1,8.72,0.08,0.48,0.64,0,0.3,1.23,4.11,0.27,0.03,1204,867495
