WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,comments,duration,views
3589,44.94,67.51,25.22,75.85,14.59,17.92,87.74,57.34,18.03,9.22,3.54,1.2,2.06,0.78,1.64,8.78,6.94,13.26,10.67,6.41,5.91,1.92,18.89,3.85,1.76,1.84,1.56,2.09,5.04,3.87,1.17,0.17,0.22,0.14,10.03,0.11,0.06,0,0.95,13.79,3.51,2.15,1.95,2.67,1.7,3.29,1.95,0.5,1.25,0.08,1.2,0.33,0.53,0.03,0.11,6.38,1.56,1.28,2.23,1.28,0.59,3.29,13.93,1.09,9.39,1.25,4.82,3.4,2.54,0.64,0.2,0.22,2.01,0.03,0.56,0,0,0.22,0.31,0.03,21.37,7.3,6.05,0.59,0.14,0.67,0.14,0.11,1.84,4.01,0.5,0.03,852,1485,2567958
3707,63.02,89.06,55.45,81.62,16.93,16.13,89.91,54.49,15.54,8.96,2.67,1.13,2.54,0.7,1.92,6.58,6.88,14.62,8.77,5.31,7.15,1.03,16.43,4.29,2.78,1.92,2.45,2.72,5.1,3.99,0.89,0.22,0.3,0.19,15.21,0.51,0.38,1.35,0.89,10.9,2.72,0.97,1.19,2.27,1.86,2.86,2.08,0.62,1,0.38,4.42,1.24,0.57,0.92,0.38,8.01,4.5,1.32,1.43,1.05,0.19,3.05,11.63,0.97,15.46,3.21,7.58,4.94,2.24,0.73,0.22,0.43,0.03,0.35,0.51,0.03,0,0.32,0.11,0.05,19.29,6.85,6.04,0.24,0.19,0.24,0.16,0.27,1.62,3.13,0.54,0,556,1407,9260764
3282,74.92,74.39,32.71,38.21,24.49,20.54,83.97,54.51,13.32,6.43,0.76,3.6,0.85,0.76,0.46,6.86,8.35,15.17,9.02,5.36,6.31,1.07,14.93,5.94,4.05,1.92,1.19,1.77,2.71,1.71,1.01,0.21,0.34,0.21,7.65,0,0.06,0,0.85,13.86,2.41,2.01,2.41,3.93,1.55,3.69,3.23,1.07,0.76,0.79,2.38,0.98,0.64,0.49,0.3,7.13,3.96,1.04,1.95,0.52,0.21,2.19,10.82,0.73,14.63,1.65,9.78,2.89,1.4,0.85,0.06,0.06,0.09,0.03,0.18,0.03,0,0.03,0.09,0.03,17.52,4.6,6.98,0.3,0.15,0.55,0.03,0.64,1.4,2.19,0.61,0.06,507,1316,2885999
3723,42.98,88.13,25.25,73.43,16.55,17.03,89.31,56.49,19.15,11.71,1.96,2.82,2.98,1.13,2.82,7.44,6.9,11.85,9.8,5.16,5.99,2.07,18,4.57,3.04,2.34,3.2,2.47,5.83,4.19,1.64,0.24,0.3,0.56,13.75,0.19,0.3,0.05,1.48,13.64,2.9,2.85,1.5,2.36,1.56,3.63,2.69,1.18,0.91,0.19,1.18,0.48,0.43,0.03,0.24,8.51,3.33,1.91,2.61,1.77,0.51,3.28,13.22,1.05,11.15,1.85,5.13,4.3,2.31,0.3,0.35,0.89,0.21,0.11,0.73,0.08,0.03,0.43,0.21,0,21.92,5.77,6.61,0.32,0.32,1.07,0.46,0.54,2.87,3.2,0.59,0.16,970,1276,14689301
2885,39.68,41.5,53.73,31.69,21.06,16.78,88.6,56.64,16.05,7.28,4.23,1.28,1.04,0.24,0.49,8.73,6.76,12.2,9.32,7.94,8.94,1.32,17.82,3.43,1.8,2.05,1.07,2.25,2.08,1.21,0.87,0.24,0.14,0.03,5.58,0.38,0.03,0.45,0.14,14.32,2.91,2.18,1.73,4.47,0.87,4.51,1.28,0.45,0.52,0.17,8.73,4.89,5.16,0.14,0.24,5.23,1.49,1.46,1.21,1.04,0.31,5.2,10.36,1.21,11.89,2.22,5.62,4.12,1.77,0.49,0.07,0.17,0,0.28,0.21,0,0,0,0.14,0.03,16.74,4.89,6.62,0,0.1,0.38,0.03,0.52,1.04,3.08,0.07,0,213,1129,1030267
4089,50.53,78.67,27.64,60.07,16.69,16.83,89.48,56.13,15.87,7.24,1.37,1.69,2.54,0.78,0.86,8.63,8.44,12.94,10.27,6.7,8.12,1.17,17.85,5.06,2.76,2.67,3.96,3.28,4.52,3.15,1.35,0.37,0.27,0.22,10.52,0.2,0.22,0.64,0.32,14.36,3.4,1.61,1.71,4.62,1.35,4.26,1.64,0.32,1.1,0.12,2.86,1.44,1.12,0.07,0.2,6.97,2.37,1.22,1.44,1.88,0.49,3.35,12.64,1.44,10.91,0.86,6.31,3.74,2.08,0.32,0.2,0.34,0,0.49,0.59,0,0.05,0.15,0.39,0,21.4,5.77,6.43,0.02,0.05,0.64,0,1.71,1.17,5.06,0.49,0.05,105,1280,1053758
3997,71.95,74.56,38.12,54.02,21.72,23.82,81.41,50.41,12.56,6.08,0.88,3.13,1.08,0,1,6.45,7.68,13.23,9.58,5.1,5.6,0.88,15.04,4.43,2.45,1.13,3.73,2.93,2.7,2.05,0.55,0.1,0.03,0.15,7.73,0.05,0.05,0,0,10.06,1.7,1.7,1.15,2.15,1,3.53,2.18,0.8,0.75,0.35,1.88,0.8,0.8,0.08,0.05,8.53,3.5,2,2.03,1.25,0.33,3.4,9.51,2.73,14.24,2.33,7.28,4.8,3.35,0.33,0.15,1.2,0,0.03,0.45,0.05,0.03,0.03,0.33,0.03,17.69,5.2,7.01,0.05,0.28,0.13,0,1.18,0.35,3.4,0.05,0.05,233,1376,2434344
3317,41.81,65.59,49.68,52.94,16.26,17.7,86.86,59.45,18.09,6.99,2.29,2.5,1.18,0.45,0.57,11.03,7.24,13.57,10.67,7.08,7.45,1.36,17.52,4.04,2.38,2.71,1.84,2.56,2.23,1.84,0.39,0.06,0.18,0.03,7.66,0.09,0.12,0.09,0.48,13.3,3.32,1.54,1.39,2.65,2.02,3.68,2.5,1.21,0.81,0.3,1.66,0.27,1.03,0.09,0.12,6.27,3.08,0.78,1.51,1.06,0.09,3.41,13.57,0.57,13.51,1.78,7.81,4.19,0.99,0.81,0.18,0.42,0.12,0.21,0.21,0,0,0.06,0.15,0,17.4,6.42,5.76,0.18,0.06,0.48,0.03,0.63,0.18,3.35,0.3,0,149,1200,1536873
3205,62.3,73.26,32.55,40.34,21.09,19.38,83.74,55.04,15.69,6.77,1.44,1.72,2,0.56,1.06,8.92,8.39,13.57,9.61,5.3,6.65,1.28,15.6,4.27,2.59,1.87,1.78,2.09,3.06,1.84,1.03,0.03,0.12,0.03,8.33,0.06,0.19,0.5,0.28,9.86,1.84,2.18,1.12,1.47,1.15,3.12,2.18,1.25,0.69,0.19,0.47,0.09,0.16,0.03,0.12,6.99,2.53,1.19,2.4,0.84,0.47,4.12,10.92,0.87,13.57,1.68,7.96,4.15,4.99,0.34,0.16,1.19,0,0.09,0.59,0,0.19,0,0.12,0,18.41,5.18,6.58,0.34,0.72,0.12,0,1.12,0.12,3.81,0.41,0,64,1038,691814
3125,30.32,71.87,41.31,50.88,15.1,16.32,85.41,59.26,16.26,10.75,3.65,2.34,2.27,1.7,0.8,5.5,7.33,11.46,10.94,7.42,10.27,2.05,20.29,3.2,1.6,1.57,2.08,1.44,3.65,2.5,1.15,0.16,0.19,0.29,10.82,0.38,0.03,0.45,1.7,13.57,4.26,1.7,1.6,3.07,0.61,3.87,3.01,1.34,1.5,0.1,0.9,0.16,0.74,0.06,0,7.01,2.98,1.15,1.86,1.25,0.48,8.67,9.22,1.38,11.2,1.5,5.79,4.03,1.82,0.48,0.06,0.35,0.1,0.03,0.58,0.06,0,0.06,0.45,0,23.26,6.82,9.41,0.22,0.22,0.54,0,0.83,0.7,3.36,1.15,0,114,1211,1520908
