,Source (B)
17,"https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design
"
27,"https://www.ted.com/talks/steven_levitt_analyzes_crack_economics
"
30,"https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice
"
34,"https://www.ted.com/talks/jacqueline_novogratz_invests_in_ending_poverty
"
41,"https://www.ted.com/talks/robert_fischell_on_medical_inventing
"
42,"https://www.ted.com/talks/peter_donnelly_shows_how_stats_fool_juries
"
49,"https://www.ted.com/talks/dean_ornish_on_the_world_s_killer_diet
"
50,"https://www.ted.com/talks/robert_neuwirth_on_our_shadow_cities
"
51,"https://www.ted.com/talks/bjorn_lomborg_sets_global_priorities
"
52,"https://www.ted.com/talks/wade_davis_on_endangered_cultures
"
57,"https://www.ted.com/talks/charles_leadbeater_on_innovation
"
60,"https://www.ted.com/talks/neil_gershenfeld_on_fab_labs
"
62,"https://www.ted.com/talks/bill_clinton_on_rebuilding_rwanda
"
66,"https://www.ted.com/talks/seth_godin_on_sliced_bread
"
70,"https://www.ted.com/talks/juan_enriquez_on_genomics_and_our_future
"
78,"https://www.ted.com/talks/nick_bostrom_on_our_biggest_problems
"
80,"https://www.ted.com/talks/craig_venter_on_dna_and_the_sea
"
89,"https://www.ted.com/talks/william_mcdonough_on_cradle_to_cradle_design
"
95,"https://www.ted.com/talks/richard_dawkins_on_militant_atheism
"
101,"https://www.ted.com/talks/stew_says_black_men_ski
"
107,"https://www.ted.com/talks/blaise_aguera_y_arcas_demos_photosynth
"
108,"https://www.ted.com/talks/john_doerr_sees_salvation_and_profit_in_greentech
"
114,"https://www.ted.com/talks/stephen_lawler_tours_microsoft_virtual_earth
"
117,"https://www.ted.com/talks/dan_dennett_on_dangerous_memes
"
118,"https://www.ted.com/talks/alan_russell_on_regenerating_our_bodies
"
125,"https://www.ted.com/talks/george_ayittey_on_cheetahs_vs_hippos
"
126,"https://www.ted.com/talks/ngozi_okonjo_iweala_on_aid_versus_trade
"
135,"https://www.ted.com/talks/erin_mckean_redefines_the_dictionary
"
138,"https://www.ted.com/talks/steven_pinker_on_language_and_thought
"
155,"https://www.ted.com/talks/larry_lessig_says_the_law_is_strangling_creativity
"
156,"https://www.ted.com/talks/paul_rothemund_casts_a_spell_with_dna
"
158,"https://www.ted.com/talks/juan_enriquez_wants_to_grow_energy
"
160,"https://www.ted.com/talks/robert_full_on_animal_movement
"
163,"https://www.ted.com/talks/murray_gell_mann_on_beauty_and_truth_in_physics
"
178,"https://www.ted.com/talks/ben_dunlap_talks_about_a_passionate_life
"
183,"https://www.ted.com/talks/jaime_lerner_sings_of_the_city
"
185,"https://www.ted.com/talks/michael_pollan_gives_a_plant_s_eye_view
"
197,"https://www.ted.com/talks/nicholas_negroponte_in_1984_makes_5_predictions
"
206,"https://www.ted.com/talks/siegfried_woldhek_shows_how_he_found_the_true_face_of_leonardo
"
213,"https://www.ted.com/talks/yochai_benkler_on_the_new_open_source_economics
"
220,"https://www.ted.com/talks/paul_stamets_on_6_ways_mushrooms_can_save_the_world
"
225,"https://www.ted.com/talks/mark_bittman_on_what_s_wrong_with_what_we_eat
"
231,"https://www.ted.com/talks/susan_blackmore_on_memes_and_temes
"
233,"https://www.ted.com/talks/wade_davis_on_the_worldwide_web_of_belief_and_ritual
"
250,"https://www.ted.com/talks/clay_shirky_on_institutions_versus_collaboration
"
265,"https://www.ted.com/talks/robert_lang_folds_way_new_origami
"
275,"https://www.ted.com/talks/ory_okolloh_on_becoming_an_activist
"
277,"https://www.ted.com/talks/paul_rothemund_details_dna_folding
"
279,"https://www.ted.com/talks/peter_hirshberg_on_tv_and_the_web
"
281,"https://www.ted.com/talks/jane_goodall_at_tedglobal_07
"
283,"https://www.ted.com/talks/brewster_kahle_builds_a_free_digital_library
"
291,"https://www.ted.com/talks/marvin_minsky_on_health_and_the_human_mind
"
298,"https://www.ted.com/talks/noah_feldman_says_politics_and_religion_are_technologies
"
299,"https://www.ted.com/talks/liz_diller_plays_with_architecture
"
302,"https://www.ted.com/talks/doris_kearns_goodwin_on_learning_from_past_presidents
"
306,"https://www.ted.com/talks/paola_antonelli_previews_design_and_the_elastic_mind
"
327,"https://www.ted.com/talks/luca_turin_on_the_science_of_scent
"
337,"https://www.ted.com/talks/dan_barber_s_surprising_foie_gras_parable
"
349,"https://www.ted.com/talks/benjamin_wallace_on_the_price_of_happiness
"
358,"https://www.ted.com/talks/greg_lynn_on_organic_design
"
366,"https://www.ted.com/talks/barry_schuler_genomics_101
"
371,"https://www.ted.com/talks/joe_derisi_hunts_the_next_killer_virus
"
384,"https://www.ted.com/talks/ed_ulbrich_shows_how_benjamin_button_got_his_face
"
394,"https://www.ted.com/talks/pattie_maes_demos_the_sixth_sense
"
402,"https://www.ted.com/talks/kamal_meattle_on_how_to_grow_your_own_fresh_air
"
403,"https://www.ted.com/talks/saul_griffith_on_kites_as_the_future_of_renewable_energy
"
404,"https://www.ted.com/talks/jacqueline_novogratz_on_an_escape_from_poverty
"
413,"https://www.ted.com/talks/nathaniel_kahn_on_my_architect
"
414,"https://www.ted.com/talks/bruce_bueno_de_mesquita_predicts_iran_s_future
"
415,"https://www.ted.com/talks/bonnie_bassler_on_how_bacteria_communicate
"
423,"https://www.ted.com/talks/margaret_wertheim_crochets_the_coral_reef
"
435,"https://www.ted.com/talks/tom_shannon_s_magnetic_sculpture
"
438,"https://www.ted.com/talks/seth_godin_on_the_tribes_we_lead
"
442,"https://www.ted.com/talks/ray_anderson_on_the_business_logic_of_sustainability
"
448,"https://www.ted.com/talks/jay_walker_on_the_world_s_english_mania
"
458,"https://www.ted.com/talks/kevin_surace_fixing_drywall_to_heal_the_planet
"
465,"https://www.ted.com/talks/catherine_mohr_surgery_s_past_present_and_robotic_future
"
467,"https://www.ted.com/talks/paul_collier_s_new_rules_for_rebuilding_a_broken_nation
"
470,"https://www.ted.com/talks/arthur_benjamin_s_formula_for_changing_math_education
"
473,"https://www.ted.com/talks/the_design_genius_of_charles_and_ray_eames
"
481,"https://www.ted.com/talks/nina_jablonski_breaks_the_illusion_of_skin_color
"
482,"https://www.ted.com/talks/gordon_brown
"
483,"https://www.ted.com/talks/alain_de_botton_a_kinder_gentler_philosophy_of_success
"
489,"https://www.ted.com/talks/janine_benyus_biomimicry_in_action
"
504,"https://www.ted.com/talks/bjarke_ingels_3_warp_speed_architecture_tales
"
506,"https://www.ted.com/talks/oliver_sacks_what_hallucination_reveals_about_our_minds
"
512,"https://www.ted.com/talks/jacqueline_novogratz_a_third_way_to_think_about_aid
"
516,"https://www.ted.com/talks/garik_israelian_what_s_inside_a_star
"
524,"https://www.ted.com/talks/david_hanson_robots_that_relate_to_you
"
526,"https://www.ted.com/talks/henry_markram_supercomputing_the_brain_s_secrets
"
529,"https://www.ted.com/talks/paul_debevec_animates_a_photo_real_digital_face
"
531,"https://www.ted.com/talks/marc_koska_the_devastating_toll_of_syringe_reuse
"
534,"https://www.ted.com/talks/rachel_armstrong_architecture_that_repairs_itself
"
549,"https://www.ted.com/talks/magnus_larsson_turning_dunes_into_architecture
"
551,"https://www.ted.com/talks/shashi_tharoor
"
558,"https://www.ted.com/talks/marc_pachter_the_art_of_the_interview
"
559,"https://www.ted.com/talks/thulasiraj_ravilla_how_low_cost_eye_care_can_be_world_class
"
560,"https://www.ted.com/talks/shereen_el_feki_pop_culture_in_the_arab_world
"
568,"https://www.ted.com/talks/asher_hasan_s_message_of_peace_from_pakistan
"
581,"https://www.ted.com/talks/anthony_atala_growing_organs_engineering_tissue
"
583,"https://www.ted.com/talks/joshua_prince_ramus_building_a_theater_that_remakes_itself
"
588,"https://www.ted.com/talks/jamie_heywood_the_big_idea_my_brother_inspired
"
589,"https://www.ted.com/talks/george_whitesides_a_lab_the_size_of_a_postage_stamp
"
593,"https://www.ted.com/talks/jamie_oliver
"
597,"https://www.ted.com/talks/bill_gates
"
599,"https://www.ted.com/talks/philip_howard
"
600,"https://www.ted.com/talks/eric_topol_the_wireless_future_of_medicine
"
602,"https://www.ted.com/talks/pawan_sinha_on_how_brains_learn_to_see
"
620,"https://www.ted.com/talks/juliana_machado_ferreira
"
621,"https://www.ted.com/talks/alan_siegel_let_s_simplify_legal_jargon
"
623,"https://www.ted.com/talks/robert_gupta
"
