WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,comments,duration,views
3177,55.23,70.27,53.95,51.7,14.71,15.8,86.69,56.47,14.13,7.55,1.92,2.42,1.35,0.16,1.7,6.58,8.06,12.28,9.85,6.96,7.52,0.98,15.74,5.07,3.65,1.89,2.11,2.68,3.15,2.27,0.88,0.16,0.16,0.03,8.09,0.54,0.06,0.06,0.19,9.73,1.2,1.42,1.61,2.33,0.94,3.65,2.27,1.48,0.66,0.03,1.29,0.06,1.1,0.13,0.06,9.25,3.27,1.01,3.43,1.73,0.28,2.99,12.31,1.01,16.59,2.49,10.95,3.53,2.55,0.6,0.6,1.89,0.06,0.31,0.35,0,0.19,0,0.19,0,19.2,7.33,6.61,0.35,0.28,0.69,0,0.35,0.5,2.05,0.88,0.16,593,1190,12005869
3627,49.12,80.35,37.27,54.85,16.71,18.91,86.38,55.75,15.72,7.83,2.45,2.76,1.52,0.19,0.91,7.86,7.75,12.88,9.68,6.42,8.66,1.41,18.67,2.26,1.27,1.76,2.62,2.21,2.76,2.15,0.61,0,0.06,0.11,10.7,0.11,0.25,0.33,0.25,10.23,2.15,2.26,1.52,1.57,1.13,2.54,1.76,0.96,0.69,0.11,1.82,0.22,1.35,0.3,0.17,9.26,4.08,1.9,1.79,1.54,0.55,4.47,11.99,1.3,13.62,2.04,7.55,4.25,3.36,0.55,0.69,0.66,0,0,0.19,0.03,0.03,0.03,0.08,0,20.07,6.98,6.29,0.36,0.44,0.28,0.03,0.69,0.33,3.83,0.66,0.19,79,1414,1211416
3890,44.31,70.64,58.16,38.08,20.26,15.71,91.08,57.56,17.58,9.25,4.52,1.85,1.59,0.36,0.93,8.33,6.79,13.34,9.61,6.56,8.05,1.29,19.41,2.9,1.85,2.52,1.08,2.01,3.8,2.24,1.54,0.1,0.75,0.28,11,0.54,0.13,0.93,0.44,12.19,3.11,2.31,1.7,2.13,1.05,3.11,3.62,1.85,1.03,0.54,0.69,0.23,0.28,0.03,0.13,8.35,3.42,1.08,2.49,1.44,0.21,5.6,10.98,1.44,13.55,1.88,7.79,3.96,1.49,2.06,0.15,0.26,0.39,0.59,0.44,0.1,0.03,0.18,0.08,0.05,21.9,5.24,6.27,1.03,0.1,0.54,0.31,0.39,0.75,3.37,0.67,3.24,55,1538,387877
3781,64.53,81.72,41.63,25.77,19.49,18.35,84.71,53.77,15.58,8.07,1.85,2.78,1.8,0.32,1.32,7.51,7.22,13.51,8.52,4.02,7.19,1.16,15.71,4.31,2.43,1.88,3.33,2.33,3.12,1.56,1.56,0.16,0.48,0.21,10.76,0.32,0.08,0.37,0.34,10.74,1.82,1.82,1.43,2.14,1.43,3.25,2.86,1.88,0.58,0.32,2.51,0.24,2.2,0.05,0.05,7.75,3.39,1.14,1.8,1.08,0.9,5.08,8.65,1.32,14.55,1.93,7.3,5.45,1.96,0.42,0.45,0.32,0.16,0.53,0.19,0.03,0.03,0.08,0.05,0,17.59,5.82,6.48,0.29,0.29,0.29,0.05,0.48,0.37,2.46,0.9,0.16,71,1550,693341
2828,32.97,70.83,42.54,69.75,15.37,15.03,90.59,59.65,17.11,7.04,1.8,2.09,1.8,0.07,1.27,10.08,7.36,12.09,11.63,6.75,8.95,2.12,19.06,3.75,2.51,2.12,3.36,3.11,3.82,3.08,0.74,0.04,0.28,0.25,9.87,0.18,0.11,0.07,0.21,12.8,1.52,1.91,0.92,3.71,1.63,4.28,3.08,1.45,1.24,0.35,0.32,0.04,0.18,0.04,0.11,7.28,2.65,1.17,2.69,0.67,0.32,3.01,14.67,1.8,13.26,2.4,6.51,4.53,4.53,0.64,0.14,1.17,0.14,0,0.78,0.07,0,0.32,0.39,0.04,21.5,6.82,6.54,0.28,0.04,0.6,0.07,0.42,1.06,4.84,0.71,0.11,99,1057,358304
3127,59.85,79.8,27.59,77.55,20.71,20.15,85.87,54.94,16.02,6.2,1.41,2.05,1.57,0.1,1.09,9.82,6.49,14.97,9.15,6.4,6.72,0.64,16.18,3.52,1.79,2.21,1.6,2.59,3.23,3.01,0.19,0,0,0,9.56,0.03,0.03,0.1,0.1,13.24,3.2,2.91,1.12,2.4,1.63,2.78,1.98,0.32,1.15,0.38,0.13,0.06,0.03,0,0.06,8.15,2.75,2.05,2.43,0.99,0.29,2.11,12.31,0.74,11.26,1.41,7.48,2.49,5.15,1.92,0.03,0.77,0,0,0.51,0,0.03,0.42,0.1,0,17.56,4.89,6.72,0.19,0,0.83,0,0.96,0.32,3.2,0.38,0.06,108,1114,966439
3641,43.9,76.25,42.27,43.27,25.64,15.02,90.47,56.93,18.24,10.6,4.56,1.24,1.04,2.5,1.26,7.64,6.92,12.08,9.15,5.03,8.65,1.04,18.26,3.54,1.32,2.28,2.03,1.76,4.72,2.8,1.84,0.27,0.55,0.22,12.85,0.36,0.19,4.5,0.27,9.09,1.87,1.48,1.48,1.51,1.32,2.22,2.66,0.99,1.32,0.3,3.71,2.2,0.77,1.79,0.36,5.99,2.53,0.71,1.59,1.13,0.33,7.88,8.65,0.63,15.16,2.64,7.75,4.97,1.15,0.49,0.27,0.38,0.19,0.22,0.41,0.16,0,0.11,0.11,0.03,19.64,4.92,8.46,0.08,0.44,0.16,0.05,0.71,1.81,2.11,0.88,0,117,1225,1131864
2331,47.1,72.16,36.98,27.2,17.53,18.4,89.23,55.6,14.29,7.64,2.79,1.5,1.46,0.39,1.5,6.65,8.28,10.9,9.87,6.61,9.61,0.77,16.69,3.95,1.63,2.15,3.35,2.75,2.79,1.42,1.33,0.13,0.09,0.3,10.08,0.13,0.13,0.26,0.3,12.57,2.23,2.79,2.32,3.43,0.86,3.6,2.45,0.73,1.54,0.04,0.56,0.13,0.26,0,0.17,7.51,2.06,1.76,3.35,0.77,0.43,4.03,11.33,0.94,13.08,2.15,6.99,4.12,5.36,0.26,0.21,4.59,0.09,0.04,0.09,0,0,0.04,0,0.04,18.92,6.78,8.24,0.21,0.13,0.47,0,0.21,0.86,2.02,0,0,74,952,503517
2279,60.57,81.23,35.29,52.08,23.49,16.54,87.98,54.72,16.19,9.08,2.63,2.81,0.97,1.1,1.58,7.11,7.15,14.22,7.85,5.92,7.37,1.23,15.8,3.51,2.15,2.5,3.69,2.15,3.38,2.37,0.97,0.18,0.26,0.18,11.19,0.31,0.04,1.32,0.44,10.31,1.76,2.11,1.67,1.93,1.54,2.24,1.89,1.23,0.39,0.26,1.71,0.75,0.57,0.04,0.35,7.77,3.55,1.27,2.33,1.05,0.18,4.17,10.27,0.7,14.87,1.93,8.16,5,3.2,0.57,0.75,3.29,0.04,0.13,0.18,0,0.04,0.09,0.04,0,15.75,4.91,7.33,0.22,0.31,0.18,0,0.79,0.35,1.49,0.18,0,58,773,705389
2707,37.97,81.53,49.88,46.9,15.38,17.95,89.77,56.85,18.73,10.01,2.66,2.48,2.92,0.74,1.22,8.68,6.1,11.93,10.45,6.8,5.47,1.81,18.25,3.73,1.77,2.33,3.51,2.55,3.66,2.33,1.18,0.18,0.41,0.18,11.64,0,0.11,0,0.92,13.48,3.18,2.03,2.03,2.44,1.33,3.51,1.88,0.7,0.78,0.33,0.44,0.04,0.37,0,0.04,8.68,2.96,1.63,2.81,1.48,0.66,3.07,13.22,1.22,14.41,2.22,7.54,4.99,4.47,0.52,0.22,2.55,0,0.04,0.3,0.07,0,0.07,0.07,0.07,17.58,6.72,6.83,0.26,0.59,0.37,0,0.15,0.3,2.22,0.15,0,43,1080,580891
