title,description,duration,languages,speaker_occupation,tags,views,success,comments
Averting the climate crisis,"With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming.",977,43,Climate advocate,"['alternative energy', 'cars', 'climate change', 'culture', 'environment', 'global issues', 'science', 'sustainability', 'technology']",3200520,1,265
Why bees are disappearing,"Honeybees have thrived for 50 million years, each colony 40 to 50,000 individuals coordinated in amazing harmony. So why, seven years ago, did colonies start dying en masse? Marla Spivak reveals four reasons which are interacting with tragic consequences. This is not simply a problem because bees pollinate a third of the world's crops. Could this incredible species be holding up a mirror for us?",957,34,Bees scholar,"['agriculture', 'animals', 'bees', 'big problems', 'biodiversity', 'botany', 'climate change', 'conservation', 'ecology', 'environment', 'food', 'garden', 'green', 'history', 'insects', 'plants', 'pollution', 'science', 'sustainability']",2436104,1,253
How trees talk to each other,"""A forest is much more than what you see,"" says ecologist Suzanne Simard. Her 30 years of research in Canadian forests have led to an astounding discovery -- trees talk, often and over vast distances. Learn more about the harmonious yet complicated social lives of trees and prepare to see the natural world with new eyes.",1099,28,Forest ecologist,"['beauty', 'biodiversity', 'biology', 'biomechanics', 'botany', 'communication', 'community', 'ecology', 'environment', 'green', 'identity', 'language', 'life', 'nature', 'plants', 'science', 'trees']",2396450,1,134
You have no idea where camels really come from,"Camels are so well adapted to the desert that it's hard to imagine them living anywhere else. But what if we have them pegged all wrong? What if those big humps, feet and eyes were evolved for a different climate and a different time? In this talk, join Radiolab's Latif Nasser as he tells the surprising story of how a very tiny, very strange fossil upended the way he sees camels, and the world. This talk comes from the PBS special ""TED Talks: Science & Wonder.""",747,27,Radio researcher,"['ancient world', 'animals', 'biology', 'curiosity', 'ecology', 'environment', 'evolution', 'history', 'life', 'nature', 'paleontology', 'science']",2272081,1,87
We can reprogram life. How to do it wisely,"For four billion years, what lived and died on Earth depended on two principles: natural selection and random mutation. Then humans came along and changed everything — hybridizing plants, breeding animals, altering the environment and even purposefully evolving ourselves. Juan Enriquez provides five guidelines for a future where this ability to program life rapidly accelerates. ""This is the single most exciting adventure human beings have been on,"" Enriquez says. ""This is the single greatest superpower humans have ever had.""",889,26,Futurist,"['DNA', 'biodiversity', 'biology', 'brain', 'conservation', 'environment', 'evolution', 'future', 'genetics', 'global issues', 'history', 'humanity', 'life', 'nature', 'potential', 'science', 'sustainability']",1973225,1,77
This country isn't just carbon neutral -- it's carbon negative,"Deep in the Himalayas, on the border between China and India, lies the Kingdom of Bhutan, which has pledged to remain carbon neutral for all time. In this illuminating talk, Bhutan's Prime Minister Tshering Tobgay shares his country's mission to put happiness before economic growth and set a world standard for environmental preservation.",1134,28,Prime Minister of Bhutan,"['Buddhism', 'alternative energy', 'beauty', 'big problems', 'climate change', 'democracy', 'ecology', 'economics', 'environment', 'future', 'global development', 'global issues', 'goal-setting', 'government', 'green', 'happiness', 'humanity', 'innovation', 'nature', 'pollution', 'sustainability', 'trees', 'world cultures']",1954438,1,89
Glow-in-the-dark sharks and other stunning sea creatures,"Just a few meters below the waves, marine biologist and explorer-photographer David Gruber discovered something amazing -- a surprising new range of sea creatures that glow in many colors in the ocean's dim blue light. Join his journey in search of biofluorescent sharks, seahorses, sea turtles and more, and learn how these light-up creatures could illuminate a new understanding of our own brains.",834,21,"Marine biologist, explorer-photographer","['adventure', 'beauty', 'biodiversity', 'biology', 'environment', 'exploration', 'fish', 'life', 'mission blue', 'nature', 'neuroscience', 'oceans', 'photography', 'science', 'submarine', 'water']",1853424,1,19
This computer will grow your food in the future,"What if we could grow delicious, nutrient-dense food, indoors anywhere in the world? Caleb Harper, director of the Open Agriculture Initiative at the MIT Media Lab, wants to change the food system by connecting growers with technology. Get to know Harper's ""food computers"" and catch a glimpse of what the future of farming might look like.",955,23,Principal Investigator and Director of the Open Agriculture Initiative,"['Vaccines', 'agriculture', 'biomechanics', 'biotech', 'botany', 'chemistry', 'climate change', 'collaboration', 'data', 'design', 'ebola', 'ecology', 'education', 'engineering', 'environment', 'food', 'future', 'garden', 'green', 'innovation', 'nature', 'open-source', 'potential', 'science', 'software', 'sustainability', 'technology', 'virus', 'water']",1589527,1,83
The secrets I find on the mysterious ocean floor,"Hundreds of meters below the surface of the ocean, Laura Robinson probes the steep slopes of massive undersea mountains. She's on the hunt for thousand-year-old corals that she can test in a nuclear reactor to discover how the ocean changes over time. By studying the history of the earth, Robinson hopes to find clues of what might happen in the future.",681,23,Ocean scientist,"['TEDx', 'adventure', 'ancient world', 'animals', 'beauty', 'biodiversity', 'biology', 'chemistry', 'climate change', 'ecology', 'environment', 'exploration', 'future', 'history', 'life', 'nature', 'oceans', 'science', 'water']",1487112,1,28
The mysterious world of underwater caves,"Cave diver Jill Heinerth explores the hidden underground waterways coursing through our planet. Working with biologists, climatologists and archaeologists, Heinerth unravels the mysteries of the life-forms that inhabit some of the earth's most remote places and helps researchers unlock the history of climate change. In this short talk, take a dive below the waves and explore the wonders of inner space.",409,36,Cave diver,"['TEDYouth', 'adventure', 'climate change', 'curiosity', 'ecology', 'environment', 'exploration', 'green', 'nature', 'plants', 'robots', 'science', 'sustainability', 'technology', 'water']",1468644,1,25
